

symbol,date,o,h,l,c
pcrw,20171102,0.85,0.85,0.85,0.85
pcrw,20171103,0.76,0.76,0.76,0.76
pcrw,20171106,0.94,0.94,0.94,0.94
pcrw,20171107,1.26,1.26,1.26,1.26
pcrw,20171108,1.38,1.38,1.38,1.38
pcrw,20171109,1.02,1.02,1.02,1.02
pcrw,20171110,0.88,0.88,0.88,0.88
pcrw,20171113,1.62,1.62,1.62,1.62
pcrw,20171114,1.43,1.43,1.43,1.43
pcrw,20171115,1.41,1.41,1.41,1.41
pcrw,20171116,0.49,0.49,0.49,0.49
pcrw,20171117,1.11,1.11,1.11,1.11
pcrw,20171120,0.68,0.68,0.68,0.68
pcrw,20171121,0.8,0.8,0.8,0.8
pcrw,20171122,0.74,0.74,0.74,0.74
pcrw,20171123,0.68,0.68,0.68,0.68
pcrw,20171124,0.52,0.52,0.52,0.52
pcrw,20171127,0.33,0.33,0.33,0.33
pcrw,20171128,0.76,0.76,0.76,0.76
pcrw,20171129,1.07,1.07,1.07,1.07
pcrw,20171130,4.03,4.03,4.03,4.03
pcrw,20171201,2.18,2.18,2.18,2.18
pcrw,20171204,1.03,1.03,1.03,1.03
pcrw,20171205,1.08,1.08,1.08,1.08
pcrw,20171206,1.4,1.4,1.4,1.4
pcrw,20171207,0.5,0.5,0.5,0.5
pcrw,20171208,0.61,0.61,0.61,0.61
pcrw,20171211,0.53,0.53,0.53,0.53
pcrw,20171212,0.64,0.64,0.64,0.64
pcrw,20171213,1.25,1.25,1.25,1.25
pcrw,20171214,0.78,0.78,0.78,0.78
pcrw,20171215,0.97,0.97,0.97,0.97
pcrw,20171218,0.51,0.51,0.51,0.51
pcrw,20171219,0.54,0.54,0.54,0.54
pcrw,20171220,0.79,0.79,0.79,0.79
pcrw,20171221,0.74,0.74,0.74,0.74
pcrw,20171222,0.36,0.36,0.36,0.36
pcrw,20171228,0.5,0.5,0.5,0.5
pcrw,20171229,0.97,0.97,0.97,0.97
pcrw,20180101,1.38,1.38,1.38,1.38
pcrw,20180102,1.32,1.32,1.32,1.32
pcrw,20180103,1.35,1.35,1.35,1.35
pcrw,20180104,0.75,0.75,0.75,0.75
