

symbol,date,o,h,l,c
pcrw,20191016,0.8,0.8,0.8,0.8
pcrw,20191017,0.45,0.45,0.45,0.45
pcrw,20191018,0.51,0.51,0.51,0.51
pcrw,20191018,0.51,0.51,0.51,0.51
pcrw,20191019,0.51,0.51,0.51,0.51
pcrw,20191019,0.51,0.51,0.51,0.51
pcrw,20191019,0.51,0.51,0.51,0.51
pcrw,20191021,0.51,0.51,0.51,0.51
pcrw,20191022,0.99,0.99,0.99,0.99
pcrw,20191023,0.77,0.77,0.77,0.77
pcrw,20191024,0.77,0.77,0.77,0.77
pcrw,20191024,0.77,0.77,0.77,0.77
pcrw,20191024,0.79,0.79,0.79,0.79
pcrw,20191025,0.63,0.63,0.63,0.63
pcrw,20191029,0.25,0.25,0.25,0.25
pcrw,20191030,0.42,0.42,0.42,0.42
pcrw,20191031,1.01,1.01,1.01,1.01
pcrw,20191106,0.94,0.94,0.94,0.94
pcrw,20191106,0.74,0.74,0.74,0.74
pcrw,20191107,0.65,0.65,0.65,0.65
pcrw,20191108,1.37,1.37,1.37,1.37
pcrw,20191111,0.88,0.88,0.88,0.88
pcrw,20191113,1.67,1.67,1.67,1.67
pcrw,20191114,0.85,0.85,0.85,0.85
pcrw,20191115,1.06,1.06,1.06,1.06
pcrw,20191118,0.96,0.96,0.96,0.96
pcrw,20191119,0.63,0.63,0.63,0.63
pcrw,20191120,0.78,0.78,0.78,0.78
pcrw,20191121,1.13,1.13,1.13,1.13
pcrw,20191122,1.19,1.19,1.19,1.19
pcrw,20191125,0.2,0.2,0.2,0.2
pcrw,20191126,0.68,0.68,0.68,0.68
pcrw,20191127,0.35,0.35,0.35,0.35
pcrw,20191128,0.11,0.11,0.11,0.11
pcrw,20191129,1.11,1.11,1.11,1.11
pcrw,20191130,1.11,1.11,1.11,1.11
pcrw,20191202,1.26,1.26,1.26,1.26
pcrw,20191203,1.22,1.22,1.22,1.22
pcrw,20191204,0.73,0.73,0.73,0.73
pcrw,20191205,1.12,1.12,1.12,1.12
pcrw,20191206,1.51,1.51,1.51,1.51
pcrw,20191207,1.51,1.51,1.51,1.51
pcrw,20191208,1.51,1.51,1.51,1.51
pcrw,20191209,1.11,1.11,1.11,1.11
pcrw,20191210,1.34,1.34,1.34,1.34
pcrw,20191211,1.01,1.01,1.01,1.01
pcrw,20191212,0.76,0.76,0.76,0.76
pcrw,20191213,0.54,0.54,0.54,0.54
pcrw,20191216,1.09,1.09,1.09,1.09
pcrw,20191217,0.51,0.51,0.51,0.51
pcrw,20191218,0.39,0.39,0.39,0.39
pcrw,20191219,0.59,0.59,0.59,0.59
pcrw,20191220,0.46,0.46,0.46,0.46
pcrw,20191223,0.42,0.42,0.42,0.42
pcrw,20191224,0.76,0.76,0.76,0.76
pcrw,20191226,2.7,2.7,2.7,2.7
pcrw,20191227,0.6,0.6,0.6,0.6
pcrw,20191230,0.92,0.92,0.92,0.92
pcrw,20191231,1.19,1.19,1.19,1.19
pcrw,20200101,0.98,0.98,0.98,0.98
pcrw,20200102,0.67,0.67,0.67,0.67
pcrw,20200103,1.26,1.26,1.26,1.26
pcrw,20200106,2.38,2.38,2.38,2.38
pcrw,20200107,1.26,1.26,1.26,1.26
pcrw,20200108,1.42,1.42,1.42,1.42
pcrw,20200109,0.63,0.63,0.63,0.63
pcrw,20200110,0.95,0.95,0.95,0.95
pcrw,20200113,0.77,0.77,0.77,0.77
pcrw,20200114,0.74,0.74,0.74,0.74
pcrw,20200115,0.66,0.66,0.66,0.66
pcrw,20200116,0.92,0.92,0.92,0.92
pcrw,20200117,0.95,0.95,0.95,0.95
pcrw,20200120,1.65,1.65,1.65,1.65
pcrw,20200121,1.42,1.42,1.42,1.42
pcrw,20200122,1.43,1.43,1.43,1.43
pcrw,20200123,0.72,0.72,0.72,0.72
pcrw,20200124,0.44,0.44,0.44,0.44
pcrw,20200127,2.4,2.4,2.4,2.4
pcrw,20200128,1.93,1.93,1.93,1.93
pcrw,20200129,1.21,1.21,1.21,1.21
pcrw,20200130,2.37,2.37,2.37,2.37
pcrw,20200131,1.42,1.42,1.42,1.42
pcrw,20200203,1.46,1.46,1.46,1.46
pcrw,20200204,0.58,0.58,0.58,0.58
pcrw,20200205,0.53,0.53,0.53,0.53
pcrw,20200206,0.74,0.74,0.74,0.74
pcrw,20200207,1.01,1.01,1.01,1.01
pcrw,20200210,1.03,1.03,1.03,1.03
pcrw,20200211,0.92,0.92,0.92,0.92
pcrw,20200212,0.68,0.68,0.68,0.68
pcrw,20200213,1.04,1.04,1.04,1.04
pcrw,20200214,1.43,1.43,1.43,1.43
pcrw,20200217,1.35,1.35,1.35,1.35
pcrw,20200218,0.8,0.8,0.8,0.8
pcrw,20200219,0.45,0.45,0.45,0.45
pcrw,20200220,1.4,1.4,1.4,1.4
pcrw,20200221,1.41,1.41,1.41,1.41
pcrw,20200224,3.58,3.58,3.58,3.58
pcrw,20200225,1.4,1.4,1.4,1.4
pcrw,20200226,2.33,2.33,2.33,2.33
pcrw,20200227,0.53,0.53,0.53,0.53
pcrw,20200228,2.78,2.78,2.78,2.78
pcrw,20200302,2.83,2.83,2.83,2.83
pcrw,20200303,1.15,1.15,1.15,1.15
pcrw,20200304,1.14,1.14,1.14,1.14
pcrw,20200305,1.73,1.73,1.73,1.73
pcrw,20200309,2.66,2.66,2.66,2.66
pcrw,20200311,1.93,1.93,1.93,1.93
pcrw,20200312,4.34,4.34,4.34,4.34
pcrw,20200313,0.81,0.81,0.81,0.81
pcrw,20200316,3.6,3.6,3.6,3.6
pcrw,20200317,4.06,4.06,4.06,4.06
pcrw,20200318,4.57,4.57,4.57,4.57
pcrw,20200319,1.99,1.99,1.99,1.99
pcrw,20200320,0.58,0.58,0.58,0.58
pcrw,20200323,4.32,4.32,4.32,4.32
pcrw,20200324,1.24,1.24,1.24,1.24
pcrw,20200326,0.47,0.47,0.47,0.47
pcrw,20200327,1.95,1.95,1.95,1.95
pcrw,20200330,1.84,1.84,1.84,1.84
pcrw,20200331,1.29,1.29,1.29,1.29
pcrw,20200403,1.92,1.92,1.92,1.92
pcrw,20200407,0.6,0.6,0.6,0.6
pcrw,20200408,1.44,1.44,1.44,1.44
pcrw,20200409,0.92,0.92,0.92,0.92
pcrw,20200413,1.09,1.09,1.09,1.09
pcrw,20200415,1.88,1.88,1.88,1.88
pcrw,20200416,0.97,0.97,0.97,0.97
pcrw,20200417,0.71,0.71,0.71,0.71
pcrw,20200420,1.05,1.05,1.05,1.05
pcrw,20200421,1.64,1.64,1.64,1.64
pcrw,20200422,0.62,0.62,0.62,0.62
pcrw,20200423,0.91,0.91,0.91,0.91
pcrw,20200424,1.28,1.28,1.28,1.28
pcrw,20200427,0.94,0.94,0.94,0.94
pcrw,20200428,0.37,0.37,0.37,0.37
pcrw,20200429,0.38,0.38,0.38,0.38
pcrw,20200430,0.08,0.08,0.08,0.08
pcrw,20200623,0.23,0.23,0.23,0.23
pcrw,20200624,5.61,5.61,5.61,5.61
pcrw,20200625,0.71,0.71,0.71,0.71
pcrw,20200626,1.17,1.17,1.17,1.17
pcrw,20200629,1.06,1.06,1.06,1.06
pcrw,20200630,1.21,1.21,1.21,1.21
pcrw,20200701,0.96,0.96,0.96,0.96
pcrw,20200702,0.84,0.84,0.84,0.84
pcrw,20200703,1.01,1.01,1.01,1.01
pcrw,20200706,0.75,0.75,0.75,0.75
pcrw,20200707,0.86,0.86,0.86,0.86
pcrw,20200708,1.33,1.33,1.33,1.33
pcrw,20200709,0.92,0.92,0.92,0.92
pcrw,20200710,0.99,0.99,0.99,0.99
pcrw,20200713,1.04,1.04,1.04,1.04
pcrw,20200714,1.6,1.6,1.6,1.6
pcrw,20200715,1.58,1.58,1.58,1.58
pcrw,20200716,1.05,1.05,1.05,1.05
pcrw,20200717,0.44,0.44,0.44,0.44
pcrw,20200720,0.64,0.64,0.64,0.64
pcrw,20200721,0.55,0.55,0.55,0.55
pcrw,20200722,1.03,1.03,1.03,1.03
pcrw,20200723,0.6,0.6,0.6,0.6
pcrw,20200724,0.64,0.64,0.64,0.64
pcrw,20200727,1.13,1.13,1.13,1.13
pcrw,20200728,0.23,0.23,0.23,0.23
pcrw,20200729,2.09,2.09,2.09,2.09
pcrw,20200730,11.6,11.6,11.6,11.6
pcrw,20200804,0.74,0.74,0.74,0.74
pcrw,20200805,1.05,1.05,1.05,1.05
pcrw,20200806,0.89,0.89,0.89,0.89
pcrw,20200807,0.94,0.94,0.94,0.94
pcrw,20200810,0.71,0.71,0.71,0.71
pcrw,20200811,0.74,0.74,0.74,0.74
pcrw,20200812,0.83,0.83,0.83,0.83
pcrw,20200813,0.78,0.78,0.78,0.78
pcrw,20200814,1.84,1.84,1.84,1.84
pcrw,20200817,0.84,0.84,0.84,0.84
pcrw,20200818,0.54,0.54,0.54,0.54
pcrw,20200819,0.95,0.95,0.95,0.95
pcrw,20200820,1.35,1.35,1.35,1.35
pcrw,20200821,0.98,0.98,0.98,0.98
pcrw,20200824,0.56,0.56,0.56,0.56
pcrw,20200825,0.85,0.85,0.85,0.85
pcrw,20200825,0.85,0.85,0.85,0.85
pcrw,20200826,0.28,0.28,0.28,0.28
pcrw,20200917,1.11,1.11,1.11,1.11
pcrw,20200918,1.45,1.45,1.45,1.45
pcrw,20200921,7.27,7.27,7.27,7.27
pcrw,20200922,1.51,1.51,1.51,1.51
pcrw,20200923,1.19,1.19,1.19,1.19
pcrw,20200924,52.57,52.57,52.57,52.57
pcrw,20200925,0.92,0.92,0.92,0.92
pcrw,20200928,0.75,0.75,0.75,0.75
pcrw,20200929,1.2,1.2,1.2,1.2
pcrw,20200930,1.27,1.27,1.27,1.27
pcrw,20201001,0.67,0.67,0.67,0.67
pcrw,20201005,0.88,0.88,0.88,0.88
pcrw,20201006,0.58,0.58,0.58,0.58
pcrw,20201008,0.86,0.86,0.86,0.86
pcrw,20201009,0.69,0.69,0.69,0.69
pcrw,20201012,0.97,0.97,0.97,0.97
pcrw,20201013,1.04,1.04,1.04,1.04
pcrw,20201014,0.61,0.61,0.61,0.61
pcrw,20201015,3.02,3.02,3.02,3.02
pcrw,20201016,1.01,1.01,1.01,1.01
pcrw,20201019,0.64,0.64,0.64,0.64
pcrw,20201020,0.92,0.92,0.92,0.92
pcrw,20201021,0.84,0.84,0.84,0.84
pcrw,20201022,0.9,0.9,0.9,0.9
pcrw,20201023,0.95,0.95,0.95,0.95
pcrw,20201026,2.0,2.0,2.0,2.0
pcrw,20201027,0.45,0.45,0.45,0.45
pcrw,20201028,3.37,3.37,3.37,3.37
pcrw,20201029,0.96,0.96,0.96,0.96
pcrw,20201030,1.39,1.39,1.39,1.39
pcrw,20201102,1.08,1.08,1.08,1.08
pcrw,20201103,0.91,0.91,0.91,0.91
pcrw,20201105,0.66,0.66,0.66,0.66
pcrw,20201106,0.64,0.64,0.64,0.64
pcrw,20201109,0.54,0.54,0.54,0.54
pcrw,20201109,0.54,0.54,0.54,0.54
pcrw,20201110,0.39,0.39,0.39,0.39
pcrw,20201110,0.39,0.39,0.39,0.39
pcrw,20201112,0.77,0.77,0.77,0.77
pcrw,20201113,0.57,0.57,0.57,0.57
pcrw,20201117,0.52,0.52,0.52,0.52
pcrw,20201118,0.38,0.38,0.38,0.38
pcrw,20201119,2.18,2.18,2.18,2.18
pcrw,20201120,0.68,0.68,0.68,0.68
pcrw,20201123,0.62,0.62,0.62,0.62
pcrw,20201124,0.35,0.35,0.35,0.35
pcrw,20201125,6.37,6.37,6.37,6.37
pcrw,20201127,1.11,1.11,1.11,1.11
pcrw,20201201,0.88,0.88,0.88,0.88
pcrw,20201203,0.8,0.8,0.8,0.8
pcrw,20201207,0.7,0.7,0.7,0.7
pcrw,20201208,0.84,0.84,0.84,0.84
pcrw,20201209,0.55,0.55,0.55,0.55
pcrw,20201210,0.8,0.8,0.8,0.8
pcrw,20201211,1.09,1.09,1.09,1.09
pcrw,20201214,0.9,0.9,0.9,0.9
pcrw,20201215,0.78,0.78,0.78,0.78
pcrw,20201216,0.65,0.65,0.65,0.65
pcrw,20201217,0.64,0.64,0.64,0.64
pcrw,20201218,0.7,0.7,0.7,0.7
pcrw,20201221,4.97,4.97,4.97,4.97
pcrw,20201222,0.69,0.69,0.69,0.69
pcrw,20201223,0.51,0.51,0.51,0.51
pcrw,20201224,0.47,0.47,0.47,0.47
pcrw,20201228,0.45,0.45,0.45,0.45
pcrw,20201229,0.67,0.67,0.67,0.67
pcrw,20201230,0.29,0.29,0.29,0.29
pcrw,20201231,0.45,0.45,0.45,0.45
pcrw,20210101,0.97,0.97,0.97,0.97
pcrw,20210104,0.71,0.71,0.71,0.71
pcrw,20210105,0.7,0.7,0.7,0.7
pcrw,20210106,1.1,1.1,1.1,1.1
pcrw,20210107,1.01,1.01,1.01,1.01
pcrw,20210108,0.66,0.66,0.66,0.66
pcrw,20210111,0.74,0.74,0.74,0.74
pcrw,20210112,0.59,0.59,0.59,0.59
pcrw,20210113,0.91,0.91,0.91,0.91
pcrw,20210114,0.69,0.69,0.69,0.69
pcrw,20210115,1.37,1.37,1.37,1.37
pcrw,20210118,1.77,1.77,1.77,1.77
pcrw,20210119,0.54,0.54,0.54,0.54
pcrw,20210120,0.82,0.82,0.82,0.82
pcrw,20210121,0.97,0.97,0.97,0.97
pcrw,20210122,1.2,1.2,1.2,1.2
pcrw,20210125,1.07,1.07,1.07,1.07
pcrw,20210127,1.04,1.04,1.04,1.04
pcrw,20210128,1.34,1.34,1.34,1.34
pcrw,20210129,1.39,1.39,1.39,1.39
pcrw,20210201,0.49,0.49,0.49,0.49
pcrw,20210202,0.62,0.62,0.62,0.62
pcrw,20210203,0.6,0.6,0.6,0.6
pcrw,20210204,0.85,0.85,0.85,0.85
pcrw,20210208,0.68,0.68,0.68,0.68
pcrw,20210209,0.88,0.88,0.88,0.88
pcrw,20210210,0.72,0.72,0.72,0.72
pcrw,20210211,0.86,0.86,0.86,0.86
pcrw,20210215,0.72,0.72,0.72,0.72
pcrw,20210216,0.88,0.88,0.88,0.88
pcrw,20210217,0.86,0.86,0.86,0.86
pcrw,20210218,0.83,0.83,0.83,0.83
pcrw,20210219,1.07,1.07,1.07,1.07
pcrw,20210222,1.17,1.17,1.17,1.17
pcrw,20210223,0.97,0.97,0.97,0.97
pcrw,20210224,0.78,0.78,0.78,0.78
pcrw,20210225,0.84,0.84,0.84,0.84
pcrw,20210226,1.87,1.87,1.87,1.87
pcrw,20210301,1.01,1.01,1.01,1.01
pcrw,20210302,0.83,0.83,0.83,0.83
pcrw,20210303,0.67,0.67,0.67,0.67
pcrw,20210304,0.88,0.88,0.88,0.88
pcrw,20210305,1.06,1.06,1.06,1.06
pcrw,20210309,0.66,0.66,0.66,0.66
pcrw,20210310,0.76,0.76,0.76,0.76
pcrw,20210315,0.8,0.8,0.8,0.8
pcrw,20210316,0.92,0.92,0.92,0.92
pcrw,20210317,1.08,1.08,1.08,1.08
pcrw,20210318,1.21,1.21,1.21,1.21
pcrw,20210319,0.64,0.64,0.64,0.64
pcrw,20210322,0.85,0.85,0.85,0.85
pcrw,20210323,0.81,0.81,0.81,0.81
pcrw,20210324,1.09,1.09,1.09,1.09
pcrw,20210325,1.23,1.23,1.23,1.23
pcrw,20210326,0.88,0.88,0.88,0.88
pcrw,20210330,0.72,0.72,0.72,0.72
pcrw,20210331,1.13,1.13,1.13,1.13
pcrw,20210405,1.15,1.15,1.15,1.15
pcrw,20210406,0.88,0.88,0.88,0.88
pcrw,20210407,1.07,1.07,1.07,1.07
pcrw,20210408,0.96,0.96,0.96,0.96
pcrw,20210412,1.78,1.78,1.78,1.78
pcrw,20210415,1.01,1.01,1.01,1.01
pcrw,20210416,0.91,0.91,0.91,0.91
pcrw,20210419,1.21,1.21,1.21,1.21
pcrw,20210422,0.77,0.77,0.77,0.77
pcrw,20210423,0.93,0.93,0.93,0.93
pcrw,20210426,0.89,0.89,0.89,0.89
pcrw,20210427,0.81,0.81,0.81,0.81
pcrw,20210428,0.74,0.74,0.74,0.74
pcrw,20210429,0.87,0.87,0.87,0.87
pcrw,20210430,1.42,1.42,1.42,1.42
pcrw,20210503,0.86,0.86,0.86,0.86
pcrw,20210504,1.24,1.24,1.24,1.24
pcrw,20210505,0.9,0.9,0.9,0.9
pcrw,20210506,0.8,0.8,0.8,0.8
pcrw,20210507,1.05,1.05,1.05,1.05
pcrw,20210510,1.1,1.1,1.1,1.1
pcrw,20210511,1.06,1.06,1.06,1.06
pcrw,20210512,0.97,0.97,0.97,0.97
pcrw,20210514,0.77,0.77,0.77,0.77
pcrw,20210517,0.72,0.72,0.72,0.72
pcrw,20210518,0.78,0.78,0.78,0.78
pcrw,20210519,0.99,0.99,0.99,0.99
pcrw,20210520,0.96,0.96,0.96,0.96
pcrw,20210521,0.62,0.62,0.62,0.62
pcrw,20210524,0.76,0.76,0.76,0.76
pcrw,20210525,0.89,0.89,0.89,0.89
pcrw,20210526,0.82,0.82,0.82,0.82
pcrw,20210527,0.9,0.9,0.9,0.9
pcrw,20210531,0.8,0.8,0.8,0.8
pcrw,20210601,0.75,0.75,0.75,0.75
pcrw,20210602,0.69,0.69,0.69,0.69
pcrw,20210603,0.84,0.84,0.84,0.84
pcrw,20210604,0.83,0.83,0.83,0.83
pcrw,20210607,0.95,0.95,0.95,0.95
